behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
herding_enabled,in_distribution,8,policy_lost_existing_won,seed_101_base_1_regime_herding_enabled,frozen_ml_epsilon_010,1,101,9,villager,0.010551531620314858
herding_enabled,mild_shift,8,policy_lost_existing_won,seed_101_base_1_regime_herding_enabled,frozen_ml_epsilon_010,2,101,9,villager,0.010551531620314858
herding_enabled,strong_shift,8,policy_lost_existing_won,seed_101_base_1_regime_herding_enabled,frozen_ml_epsilon_010,3,101,8,seer,0.014621114345696573
deception_enabled,strong_shift,10,strong_distribution_shift,seed_101_base_1_regime_deception_enabled,frozen_ml,2,101,8,villager,0.010318451179798571
deception_enabled,strong_shift,10,strong_distribution_shift,seed_101_base_1_regime_deception_enabled,frozen_hybrid_50_50,2,101,7,seer,0.007219823416632853
deception_enabled,strong_shift,10,strong_distribution_shift,seed_101_base_1_regime_deception_enabled,frozen_hybrid_50_50,3,101,8,villager,0.009085580010694705
deception_enabled,strong_shift,10,strong_distribution_shift,seed_101_base_1_regime_deception_enabled,frozen_ml_epsilon_010,2,101,7,seer,0.010318451179798571
heterogeneous_risk_preference,in_distribution,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_ml,1,101,7,witch,0.005994161186895441
heterogeneous_risk_preference,mild_shift,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_ml,2,101,8,hunter,0.0007742161273091019
heterogeneous_risk_preference,strong_shift,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_ml,3,101,6,villager,0.012232406962596976
heterogeneous_risk_preference,in_distribution,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,1,101,7,witch,0.005994161186895441
heterogeneous_risk_preference,mild_shift,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,2,101,8,hunter,0.0007742161273091019
heterogeneous_risk_preference,strong_shift,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,3,101,6,villager,0.012232406962596976
heterogeneous_risk_preference,in_distribution,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_ml_epsilon_010,1,101,7,witch,0.005994161186895441
heterogeneous_risk_preference,mild_shift,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_ml_epsilon_010,2,101,8,hunter,0.0007742161273091019
heterogeneous_risk_preference,strong_shift,9,policy_lost_existing_won,seed_101_base_1_regime_heterogeneous_risk_preference,frozen_ml_epsilon_010,3,101,6,villager,0.012232406962596976
strong_village_information,in_distribution,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml,1,101,7,villager,0.0059941611868955524
strong_village_information,strong_shift,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml,2,101,7,villager,0.006927039483926478
strong_village_information,strong_shift,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml,3,101,2,witch,0.003747712505389744
strong_village_information,strong_shift,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml,4,101,10,hunter,0.023464669916932968
strong_village_information,strong_shift,5,strong_distribution_shift,seed_101_base_1_regime_strong_village_information,frozen_hybrid_50_50,2,101,6,villager,0.006927039483926478
strong_village_information,strong_shift,5,strong_distribution_shift,seed_101_base_1_regime_strong_village_information,frozen_hybrid_50_50,3,101,10,hunter,0.0035203100955267796
strong_village_information,strong_shift,2,strong_distribution_shift,seed_101_base_1_regime_strong_village_information,frozen_hybrid_50_50,4,101,7,villager,0.0012071526855418346
strong_village_information,in_distribution,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml_epsilon_010,1,101,7,villager,0.0059941611868955524
strong_village_information,strong_shift,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml_epsilon_010,2,101,7,villager,0.006927039483926478
strong_village_information,strong_shift,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml_epsilon_010,3,101,2,witch,0.003747712505389744
