behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,frozen_ml_target,game_id,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
herding_enabled,in_distribution,6,low_margin_decision,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_herding_enabled,continuous_frozen_ml,1,220,8,villager,0.010551531620314747
herding_enabled,mild_shift,6,low_margin_decision,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_herding_enabled,continuous_frozen_ml,2,220,8,villager,0.011484409917345784
herding_enabled,strong_shift,6,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_herding_enabled,continuous_frozen_ml,3,220,2,villager,0.004033287494276894
herding_enabled,strong_shift,10,strong_distribution_shift,1,stage2b_seed_220_base_1_regime_herding_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_herding_enabled,continuous_frozen_ml,4,220,1,villager,0.006139936825476755
herding_enabled,in_distribution,6,low_margin_decision,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_herding_enabled,existing_with_ml_shadow,1,220,6,seer,0.010551531620314747
herding_enabled,strong_shift,6,strong_distribution_shift,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_herding_enabled,existing_with_ml_shadow,2,220,6,seer,0.011484409917345784
herding_enabled,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_herding_enabled,existing_with_ml_shadow,3,220,10,witch,0.001748687583180586
herding_enabled,in_distribution,6,low_margin_decision,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_herding_enabled,selective_ml_override,1,220,8,villager,0.010551531620314747
herding_enabled,strong_shift,6,strong_distribution_shift,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_herding_enabled,selective_ml_override,2,220,6,seer,0.011484409917345784
herding_enabled,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_herding_enabled,selective_ml_override,3,220,10,witch,0.001748687583180586
herding_enabled,in_distribution,6,low_margin_decision,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_herding_enabled,high_confidence_shadow,1,220,6,seer,0.010551531620314747
herding_enabled,strong_shift,6,strong_distribution_shift,8,stage2b_seed_220_base_1_regime_herding_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_herding_enabled,high_confidence_shadow,2,220,6,seer,0.011484409917345784
herding_enabled,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_herding_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_herding_enabled,high_confidence_shadow,3,220,10,witch,0.001748687583180586
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_deception_enabled,ml_first_kill_only,2,220,10,seer,0.002402596921220357
deception_enabled,strong_shift,3,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_deception_enabled,ml_first_kill_only,3,220,3,hunter,0.0010032794756740238
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_deception_enabled,ml_single_random_kill,2,220,10,seer,0.002402596921220357
deception_enabled,strong_shift,3,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_deception_enabled,ml_single_random_kill,3,220,3,hunter,0.0010032794756740238
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_deception_enabled,ml_first_two_kills,2,220,5,villager,0.002402596921220357
deception_enabled,strong_shift,10,strong_distribution_shift,4,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_deception_enabled,ml_first_two_kills,3,220,10,seer,0.022850294475049604
deception_enabled,strong_shift,3,strong_distribution_shift,4,stage2b_seed_220_base_1_regime_deception_enabled_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_deception_enabled,ml_first_two_kills,4,220,3,hunter,0.026534211831692245
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_deception_enabled,continuous_frozen_ml,2,220,5,villager,0.002402596921220357
deception_enabled,strong_shift,10,strong_distribution_shift,4,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_deception_enabled,continuous_frozen_ml,3,220,4,villager,0.022850294475049604
deception_enabled,strong_shift,10,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_deception_enabled,continuous_frozen_ml,4,220,3,hunter,0.037990592599667194
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_deception_enabled,existing_with_ml_shadow,2,220,10,seer,0.002402596921220357
